program_id,university_name,program_name,field_of_study,degree_level,official_program_url,official_department_source,international_application_url,programme_identity_status,international_applicants_status,research_status,evidence_note,verified_date
prog_cn_043,University of Science and Technology Beijing,,,Master,,,,NEED_REVIEW,NEED_REVIEW,NEED_REVIEW,Awaiting official USTB source verification,
prog_cn_044,University of Science and Technology Beijing,,,Master,,,,NEED_REVIEW,NEED_REVIEW,NEED_REVIEW,Awaiting official USTB source verification,
prog_cn_045,University of Science and Technology Beijing,,,Master,,,,NEED_REVIEW,NEED_REVIEW,NEED_REVIEW,Awaiting official USTB source verification,
