scholarship_id,scholarship_name,field,verified_value,mongodb_value,api_type,reason,recommended_next_action
sch_hk_001,Hong Kong PhD Fellowship Scheme (HKPFS),scholarship_id,"""""","""sch_hk_001""",str,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_my_001,Malaysia International Scholarship (MIS) 2026,scholarship_id,"""""","""sch_my_001""",str,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_sg_001,Singapore International Graduate Award (SINGA),scholarship_id,"""""","""sch_sg_001""",str,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_kr_001,Global Korea Scholarship (GKS) - Graduate Degrees,scholarship_id,"""""","""sch_kr_001""",str,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_tw_001,MOE Taiwan Scholarship 2026,scholarship_id,"""""","""sch_tw_001""",str,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
sch_th_001,Thailand International Postgraduate Programme (TIPP) 2026,scholarship_id,"""""","""sch_th_001""",str,"The verified source is blank while MongoDB contains a value, or the field does not meet the safe optional-missing rule.",REVIEW_PROVENANCE_AND_INTEGRATION_MAPPING
